  
 ****** Capacitance Coefficient Arrays ******
  
        I       J         Cg Value
       13.      7.    -0.96046E-13
       13.      8.    -0.14872E-12
       13.      9.    -0.22919E-12
       13.     10.    -0.48600E-12
       13.     11.    -0.19734E-11
       13.     12.    -0.43094E-10
       13.     13.     0.92510E-10
       13.     14.    -0.43073E-10
       13.     15.    -0.19714E-11
       13.     16.    -0.48369E-12
       14.      1.    -0.47673E-12
       14.      2.    -0.19307E-12
       14.      3.    -0.19628E-12
       14.      4.    -0.18516E-12
       14.      5.    -0.16044E-12
       14.      6.    -0.12560E-12
       14.      7.    -0.81511E-13
       14.      8.    -0.11584E-12
       14.      9.    -0.15303E-12
       14.     10.    -0.23074E-12
       14.     11.    -0.48659E-12
       14.     12.    -0.19722E-11
       14.     13.    -0.43073E-10
       14.     14.     0.92499E-10
       14.     15.    -0.43081E-10
       14.     16.    -0.19680E-11
       15.      1.    -0.19590E-11
       15.      2.    -0.43187E-12
       15.      3.    -0.29132E-12
       15.      4.    -0.23179E-12
       15.      5.    -0.17922E-12
       15.      6.    -0.12706E-12
       15.      7.    -0.74661E-13
       15.      8.    -0.99193E-13
       15.      9.    -0.11933E-12
       15.     10.    -0.15398E-12
       15.     11.    -0.23076E-12
       15.     12.    -0.48589E-12
       15.     13.    -0.19714E-11
       15.     14.    -0.43081E-10
       15.     15.     0.92451E-10
       15.     16.    -0.43015E-10
       16.      1.    -0.43070E-10
       16.      2.    -0.18794E-11
       16.      3.    -0.59289E-12
       16.      4.    -0.33527E-12
       16.      5.    -0.21935E-12
       16.      6.    -0.13797E-12
       16.      7.    -0.72798E-13
       16.      8.    -0.91009E-13
       16.      9.    -0.10166E-12
       16.     10.    -0.11931E-12
       16.     11.    -0.15302E-12
       16.     12.    -0.22912E-12
       16.     13.    -0.48369E-12
       16.     14.    -0.19680E-11
       16.     15.    -0.43015E-10
       16.     16.     0.92468E-10
  
        I       J         Cl Value
  
        1.      1.     0.14722E-17
        1.      2.     0.42854E-10
        1.      3.     0.22439E-11
        1.      4.     0.64848E-12
        1.      5.     0.30549E-12
        1.      6.     0.16045E-12
        1.      7.     0.74014E-13
        1.      8.     0.87096E-13
        1.      9.     0.91033E-13
        1.     10.     0.99201E-13
        1.     11.     0.11586E-12
        1.     12.     0.14872E-12
        1.     13.     0.22383E-12
        1.     14.     0.47673E-12
        1.     15.     0.19590E-11
        1.     16.     0.43070E-10
        2.      1.     0.42854E-10
        2.      2.     0.69291E-18
        2.      3.     0.47463E-10
        2.      4.     0.21525E-11
        2.      5.     0.51186E-12
        2.      6.     0.18314E-12
        2.      7.     0.67713E-13
        2.      8.     0.73983E-13
        2.      9.     0.72787E-13
        2.     10.     0.74635E-13
        2.     11.     0.81489E-13
        2.     12.     0.96004E-13
        2.     13.     0.12507E-12
        2.     14.     0.19307E-12
        2.     15.     0.43187E-12
        2.     16.     0.18794E-11
        3.      1.     0.22439E-11
        3.      2.     0.47463E-10
        3.      3.     0.56931E-17
        3.      4.     0.20112E-09
        3.      5.     0.13184E-10
        3.      6.     0.20356E-11
        3.      7.     0.18322E-12
        3.      8.     0.16044E-12
        3.      9.     0.13799E-12
        3.     10.     0.12705E-12
        3.     11.     0.12560E-12
        3.     12.     0.13362E-12
        3.     13.     0.15413E-12
        3.     14.     0.19628E-12
        3.     15.     0.29132E-12
        3.     16.     0.59289E-12
        4.      1.     0.64848E-12
